Source,Harga lama,Harga baru,Judul,No. ISBN,Penerbit,Tanggal terbit,Jumlah Halaman,Berat,Jenis Cover,Dimensi(L x P),Kategori,Bonus,Text Bahasa
https://www.bukukita.com/Sains-dan-Teknologi/Sains-Umum/168307-The-Magic-of-Reality.html,Rp 80.000,Rp 72.000,The Magic of Reality (edisi teks),9786024816056,Gramedia Pustaka Utama ,Juli - 2021,208,160 gr,soft cover,-,Sains Umum,-,Indonesia ·
https://www.bukukita.com/Aksesoris-Kado-&-Parcel/Kertas-Kado/157448-Bungkus-Kertas-Kado-Motif-Batik-Coklat-Tua.html,,Rp 3.000,Bungkus Kertas Kado Motif Batik Coklat Tua,-,Bukukita.com ,2018,1,25 gr,-,-,Kertas Kado,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Romance/148035-Imaji-Terindah.html,Rp 69.000,Rp 58.650,Imaji Terindah,9786028740609,Lentera Hati ,Desember - 2016,290,400 gr,soft cover,-,Romance,-,Indonesia ··
https://www.bukukita.com/Orang-Tua-dan-Keluarga/Orang-Tua-dan-Anak/163306-Smart-Parenting:-2000-Kilat-Cerdas-Mendidik-Anak.html,Rp 79.000,Rp 67.150,Smart Parenting: 2000 Kilat Cerdas Mendidik Anak,9786237162407,Alvabet ,Agustus - 2019,-,300 gr,Soft Cover,-,Orang Tua dan Anak,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/169802-Salwatul-Ahzan.html,Rp 69.000,Rp 58.650,Salwatul Ahzan,9786237163770,Alifia Books ,Juni - 2023,-,215 gr,Soft Cover,13x20mm,Islam,-,Indonesia ··
https://www.bukukita.com/Bahasa-dan-Kamus/Belajar-Bahasa/159673-SWIUN-HANGUGEO:-Bahasa-Korea-Itu-Mudah!.html,Rp 69.500,Rp 59.075,SWIUN HANGUGEO: Bahasa Korea Itu Mudah!,9786025907593,Pusat Kajian Bahasa ,Oktober - 2018,-,250 gr,Soft Cover,-,Belajar Bahasa,-,
https://www.bukukita.com/Agama/Islam/121394-AL-MATSURAT-WAZIFAH-KUBRA.html,Rp 3.500,Rp 2.975,AL-MATSURAT WAZIFAH KUBRA (Jenis 1) pelangi,-,Indiva Media Kreasi ,Januari - 2014,-,50 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/168292-Hikayat-Para-Dermawan-:-Hikmah-dan-Teladan-dari-Orang-Orang-Saleh-yang-Gemar-Memberi.html,Rp 75.000,Rp 63.750,Hikayat Para Dermawan : Hikmah dan Teladan dari Orang-Orang Saleh yang Gemar Memberi,9786237163725,Alifia Books ,November - 2021,-,350 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/169849-Your-Job-is-Not-Your-Career-:-Your-Ultimate-Career.html,Rp 99.000,Rp 84.150,Your Job is Not Your Career : Your Ultimate Career ( Edisi Revisi dan diperbarui ) ,97862354951012,Literati-books ,Juli - 2023,204,180 gr,Soft Cover,13x19mm,Pengembangan Diri,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/157623-Seri-Makhluk-Ghaib-:-Malaikat-dalam-Al-Quran.html,Rp 33.000,Rp 28.050,Seri Makhluk Ghaib : Malaikat dalam Al-Quran,9786027720671,Lentera Hati ,Juli - 2018,-,150 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/130803-How-Successful-People-Lead.html,Rp 95.000,Rp 80.750,How Successful People Lead ,9786028482837,MIC ,November - 2014,-,300 gr,Hard Cover,-,Pengembangan Diri,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Remaja/81970-Gara-gara-Facebook.html,Rp 30.000,Rp 25.500,Gara-gara Facebook,9786028597104,Leutika ,Juli - 2010,188,200 gr,Soft Cover,-,Remaja,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Sosial-Budaya/166996-MENGELOLA-HARTA-KARUN-KARIMUNJAWA.html,Rp 70.000,Rp 59.500,MENGELOLA HARTA KARUN KARIMUNJAWA,9786022730408,Wedatama Widya Sastra ,Mei - 2020,252,250 gr,Soft Cover,-,Sosial-Budaya,-,Indonesia ··
"https://www.bukukita.com/Anak-Anak/Cerita-Anak/169726-Kareem,-Khaleel,-dan-Hati-yang-Bersyukur.html",Rp 150.000,Rp 127.500,"Kareem, Khaleel, dan Hati yang Bersyukur",9786236944158,Buah Hati ,Maret - 2023,34,160 gr,hard cover,26x26mm,Cerita Anak,-,Indonesia ··
https://www.bukukita.com/Anak-Anak/Cerita-Anak/150844-Seri-Buku-Toleransi:-Kitu-Kucing-Kecil-Bersuara-Ganjil.html,Rp 55.000,Rp 46.750,Seri Buku Toleransi: Kitu Kucing Kecil Bersuara Ganjil,9786027652934,Buah Hati ,Juli - 2017,32,100 gr,Soft Cover,21x28mm,Cerita Anak,-,Indonesia ··
https://www.bukukita.com/Non-Fiksi-Lainnya/Non-Fiksi-Umum/115265-100-Kejadian-Menghebohkan-Tanda-Kekuasaan-Allah.html,Rp 52.000,Rp 44.200,100 Kejadian Menghebohkan Tanda Kekuasaan Allah ,9786027765269,Titik Media ,Juni - 2013,-,250 gr,Soft Cover,-,Non-Fiksi Umum,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/89402-Dahsyatnya-Ibadah-Siang.html,Rp 45.000,Rp 22.500,Dahsyatnya Ibadah Siang (Disc 50%),979,QultumMedia ,Februari - 2011,194,220 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Motivasi/69974-Kamu-Bukan-Bintang-:-10-Hal-yang-Menjadikanmu-Pecundang.html,Rp 28.000,Rp 22.400,Kamu Bukan Bintang : 10 Hal yang Menjadikanmu Pecundang ,979,Indiva Media Kreasi ,2008,-,200 gr,Soft Cover,-,Motivasi,-,Indonesia ··
https://www.bukukita.com/Busana-dan-Kecantikan/Aksesoris/113738-Ragam-Aksesoris-Berbusana-Paling-Cantik.html,Rp 35.000,Rp 29.750,Ragam Aksesoris Berbusana Paling Cantik,9786027560918,Dunia Kreasi ,Mei - 2013,-,150 gr,Soft Cover,-,Aksesoris,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/167298-Semua-Murid-Semua-Guru.html,Rp 89.000,Rp 75.650,Semua Murid Semua Guru (Seri 4) Edukasi di masa pandemi,9786028740807,Literati-books ,Januari - 2021,304,350 gr,Soft Cover,-,Pengembangan Diri,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Psikologi/168230-RESIGN-SEKARANG-JUGA-!.html,Rp 30.500,Rp 25.925,RESIGN SEKARANG JUGA !,9786232445079,Psikologi Corner ,Oktober - 2021,-,150 gr,Soft Cover,-,Psikologi,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Fiksi/162590-Ababil-dan-Tiga-Kitab-Iblis-Sebuah-Novel.html,Rp 88.000,Rp 74.800,Ababil dan Tiga Kitab Iblis - Sebuah Novel,9786028740487,Literati-books ,Oktober - 2015,-,450 gr,Soft Cover,-,Fiksi,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/159636-Mendeteksi-Kebohongan-dengan-Gesture-dan-Mikroekspresi.html,Rp 44.800,Rp 38.080,Mendeteksi Kebohongan dengan Gesture dan Mikroekspresi,9786025638688,Anak Hebat Indonesia ,Oktober - 2018,-,200 gr,Soft Cover,-,Pengembangan Diri,-,Indonesia ··
https://www.bukukita.com/Referensi/Ensiklopedia/125717-Ensiklopedia-Tata-Bahasa-Indonesia.html,Rp 54.500,Rp 46.325,Ensiklopedia Tata Bahasa Indonesia,-,Kunci Aksara ,Juni - 2014,-,200 gr,Soft Cover,-,Ensiklopedia,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/114289-Tijaratan-Lan-Tabur.-Perniagaan-Tiada-Rugi.html,Rp 33.000,Rp 28.050,Tijaratan Lan Tabur. Perniagaan Tiada Rugi,9786028995122,Pustaka Pesantren ,2012,-,100 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/83043-Spiritual-Soft-Drink.html,Rp 39.000,Rp 33.150,Spiritual Soft Drink,9798452437,Lkis ,2008,-,100 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Remaja/169451-Seluas-Langit-Biru-by-Sitta-Karina.html,Rp 160.000,Rp 136.000,Seluas Langit Biru by Sitta Karina (masih ada ttd ) ,97862354950261,Literati-books ,Oktober - 2022,532,400 gr,Soft Cover,19x13mm,Remaja,Tanda Tangan Asli Sitta Karina,Indonesia ··
https://www.bukukita.com/Hukum-dan-Undang-undang/Undang-undang/114966-Susunan-Dalam-Satu-Naskah-Undang-Undang-Pajak-Pertambahan-Nilai.html,Rp 31.500,Rp 26.775,Susunan Dalam Satu Naskah Undang-Undang Pajak Pertambahan Nilai (PPn BM),9786027842182,Fokus Media ,2013,-,200 gr,Soft Cover,-,Undang-undang,-,Indonesia ··
"https://www.bukukita.com/Buku-Sekolah/Penunjang-Pelajaran/137486-Akuntabilitas-:-Edisi-3,-Juni-September-2015-Downward-Accountability.html",Rp 27.500,Rp 23.375,"Akuntabilitas : Edisi 3, Juni-September 2015 Downward Accountability",9772302400017,Diandra Primamitra ,September - 2015,-,250 gr,Soft Cover,-,Penunjang Pelajaran,-,Indonesia ··
https://www.bukukita.com/Agama/Al-Quran/98044-AL-BAYAN-AL-QURAN.html,Rp 110.000,Rp 93.500,AL BAYAN AL-QUR'AN (BIRU),-,Fokus Media ,November - 2011,-,1000 gr,Hard Cover,-,Al-Quran,-,Indonesia ··
https://www.bukukita.com/Inspirasi-dan-Spiritual/Kiat-Sukses/106992-Mudah-Mencari-Kerja-:-Pedoman-Praktis-Bagi-Para-Pencari-Kerja.html,Rp 26.000,Rp 22.100,Mudah Mencari Kerja : Pedoman Praktis Bagi Para Pencari Kerja,9786029682830,Oncor Semesta Publisher ,Juni - 2010,80,100 gr,Soft Cover,-,Kiat Sukses,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/130689-Kisah-kisah-79-Teladan-Dahsyat-Sepanjang-Hayat.html,Rp 31.500,Rp 26.775,Kisah-kisah 79 Teladan Dahsyat Sepanjang Hayat,9789799812483,Nabila Publising ,Oktober - 2014,-,200 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/82854-Maknai-Terus-Sholatmu.html,Rp 37.000,Rp 31.450,Maknai Terus Sholatmu,97989664060,Lkis ,2007,133,150 gr,-,-,Islam,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Psikologi/168472-Sebuah-seni-untuk-meyakinkan-orang.html,Rp 99.000,Rp 84.150,Sebuah seni untuk meyakinkan orang ( Cover Baru ) ,9786237162513,Gemilang ,Januari - 2022,472,450 gr,Soft Cover,-,Psikologi,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Motivasi/148094-Karyawan-Juga-Bisa-Kaya:-7-resep-makmur-yang-dibuktikan-pensiunan-&-karyawan.html,Rp 72.800,Rp 65.520,Karyawan Juga Bisa Kaya: 7 resep makmur yang dibuktikan pensiunan & karyawan (Hard Cover),9786020292588,Elex Media Komputindo ,Desember - 2016,116,350 gr,Hard Cover,-,Motivasi,-,Indonesia ··
https://www.bukukita.com/Anak-Anak/Islam/138882-Doa-Anak-Saleh-Al-Ikhlas-Jilid-1-BK.html,Rp 25.000,Rp 21.250,Doa Anak Saleh Al-Ikhlas Jilid 1 BK,9786021773024,IKHLAS MEDIA ,November - 2015,-,400 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/162626-Hadits-Shahih-Bukhari-Muslim-Hard-Cover.html,Rp 250.000,Rp 212.500,Hadits Shahih Bukhari Muslim - Hard Cover,9786021789803,FATHAN PRIMA MEDIA ,2013,846,2100 gr,Hard Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Biografi-dan-Memoar/Biografi/159658-STEVE-JOBS:-Seniman-Teknologi-Revolusioner-Abad-21.html,Rp 47.500,Rp 40.375,STEVE JOBS: Seniman Teknologi Revolusioner Abad 21,9786025907500,Anak Hebat Indonesia ,Oktober - 2018,-,250 gr,Soft Cover,-,Biografi,-,Indonesia ··
https://www.bukukita.com/Inspirasi-dan-Spiritual/Kiat-Sukses/169818-Buku-Trilogy-of-Inspirations-Hermanto-Tanoko-Richer-Mindset.html,Rp 750.000,Rp 499.000,Buku Trilogy of Inspirations Hermanto Tanoko Richer Mindset,-,PT. Tancorp Media Digital ,Juni - 2023,-,1600 gr,hard cover,-,Kiat Sukses,-,Indonesia ··
https://www.bukukita.com/katalogbukuatribut.php?atrId=5&page=1,,,,,,,,,,,,,
https://www.bukukita.com/Agama/Islam/70096-Bercinta-Cara-Nabi-dan-Raja.html,Rp 24.000,Rp 20.400,Bercinta Cara Nabi dan Raja,9789791354042,Pena Saran Media ,2008,178,150 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Sastra-dan-Filsafat/Cerpen/133232-Kisah-Dalam-Satu-Jam.html,Rp 43.000,Rp 36.550,Kisah Dalam Satu Jam,9786028740418,Literati-books ,Maret - 2015,-,250 gr,Soft Cover,-,Cerpen,-,Indonesia ··
https://www.bukukita.com/Buku-Sekolah/Penunjang-Pelajaran/106996-Tes-Potensi-Akademik.html,Rp 33.000,Rp 28.050,Tes Potensi Akademik,9786029682854,Oncor Semesta Publisher ,Agustus - 2010,118,150 gr,Soft Cover,-,Penunjang Pelajaran,-,Indonesia ··
https://www.bukukita.com/Anak-Anak/Islam/138884-Doa-Anak-Saleh-Al-Ikhlas-Jilid-3-BK.html,Rp 25.000,Rp 21.250,Doa Anak Saleh Al-Ikhlas Jilid 3 BK,9786021773048,IKHLAS MEDIA ,November - 2015,-,400 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Anak-Anak/Islam/138880-Doa-Anak-Saleh-Al-Ikhlas-Jilid-2-BK.html,Rp 25.000,Rp 21.250,Doa Anak Saleh Al-Ikhlas Jilid 2 BK,9786021773031,IKHLAS MEDIA ,November - 2015,-,400 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/157567-Islam-Yang-Saya-Pahami.html,Rp 95.000,Rp 80.750,Islam Yang Saya Pahami (reguler),9786027720831,Lentera Hati ,Juli - 2018,342,350 gr,Soft Cover,13x19mm,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/162665-Muhammad-Sang-Teladan-Hard-Cover.html,Rp 144.000,Rp 122.400,Muhammad Sang Teladan - Hard Cover,9786026563705,Senja Publishing ,2019,-,1100 gr,Hard Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Biografi-dan-Memoar/Biografi/107877-Mari-Bung-Rebut-Kembali-Surya-Paloh-2010-2012.html,Rp 48.500,Rp 41.225,Mari Bung Rebut Kembali - Surya Paloh 2010-2012,9786029618433,Media Indonesia ,Oktober - 2012,-,300 gr,soft cover,-,Biografi,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/162870-AL-MAIDAH-51:-Satu-Firman-Beragam-Penafsiran.html,Rp 80.000,Rp 68.000,AL-MAIDAH 51: Satu Firman Beragam Penafsiran,9786027720879,Lentera Hati ,Juli - 2019,-,250 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Sejarah-dan-Budaya/Kebudayaan/109924-Tarekat-Petani-:-Fenomena-Tarekat-Syattariyah-Lokal.html,Rp 65.000,Rp 55.250,Tarekat Petani : Fenomena Tarekat Syattariyah Lokal,9789791677653,Lkis ,Januari - 2013,250,250 gr,Soft Cover (HVS),-,Kebudayaan,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/169716-Future-Skills.html,Rp 79.000,Rp 67.150,Future Skills,9786238036011,Gemilang ,Februari - 2023,296,270 gr,Soft Cover,13x20mm,Pengembangan Diri,-,Indonesia ··
https://www.bukukita.com/Kesehatan-dan-Lingkungan/Pengetahuan-Kesehatan/141450-Sehat-dengan-Rempah-dan-Bumbu-Dapur.html,Rp 75.000,Rp 63.750,Sehat dengan Rempah dan Bumbu Dapur,9786024120115,Kompas ,Maret - 2016,-,250 gr,Soft Cover,-,Pengetahuan Kesehatan,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Romance/152787-The-Perfect-Charm.html,Rp 88.500,Rp 75.225,The Perfect Charm,9786026673848,Histeria ,Oktober - 2017,436,500 gr,Soft Cover,-,Romance,-,Indonesia ··
https://www.bukukita.com/Anak-Anak/Pelajaran-Sekolah/129515-Insyaallah-Lulus-UN.html,Rp 39.500,Rp 33.575,Insyaallah Lulus UN,9786021258996,Adi Bintang ,Oktober - 2014,104,250 gr,Soft Cover,-,Pelajaran Sekolah,-,Indonesia ··
https://www.bukukita.com/Anak-Anak/Cerita-Anak/168624-YLAI-Interactive-Book-Tugas-Penting-Kartika.html,Rp 72.000,Rp 64.800,YLAI Interactive Book - Tugas Penting Kartika,9786024580711,PELANGI INDONESIA ,Maret - 2022,24,150 gr,soft cover,21x30mm,Cerita Anak,-,Indonesia ··
https://www.bukukita.com/Anak-Anak/Pendidikan-Anak/131754-Storypedia-Nusantara.html,Rp 100.000,Rp 85.000,Storypedia Nusantara (Full Colour) (2013),9786027652293,Buah Hati ,November - 2013,-,500 gr,Soft Cover,-,Pendidikan Anak,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Romance/166568-Putri-Hujan-Dan-Kesatria-Malam.html,Rp 99.000,Rp 84.150,Putri Hujan Dan Kesatria Malam (Reguler),9786028740784,Lentera Hati ,Agustus - 2020,468,400 gr,Soft Cover,130x190mm,Romance,-,Indonesia ··
https://www.bukukita.com/Anak-Anak/Islam/138883-Doa-Anak-Saleh-Al-Ikhlas-Jilid-5-BK.html,Rp 25.000,Rp 21.250,Doa Anak Saleh Al-Ikhlas Jilid 5 BK,9786021773062,IKHLAS MEDIA ,November - 2015,-,400 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Anak-Anak/Keterampilan/135266-Buku-Mewarnai-Boboi-Boy.html,Rp 16.000,Rp 13.600,Buku Mewarnai Boboi Boy,9786023080250,Kurniaesa ,Mei - 2015,-,50 gr,Soft Cover,-,Keterampilan,-,Indonesia ··
https://www.bukukita.com/Anak-Anak/Pendidikan-Anak/127454-Sticker-Book-Seru-Berpetualangan-Di-Negeri-Dinosaurus.html,Rp 44.000,Rp 35.200,Sticker Book - Seru Berpetualangan Di Negeri Dinosaurus,9786027002913,Batavia Imaji ,Agustus - 2014,-,100 gr,Soft Cover,-,Pendidikan Anak,-,Indonesia ··
"https://www.bukukita.com/Agama/Islam/167124-Islam-&-Kebangsaan:-Tauhid,-Kemanusiaan-dan-Kewarganegaraan.html",Rp 55.000,Rp 46.750,"Islam & Kebangsaan: Tauhid, Kemanusiaan dan Kewarganegaraan(Reguler)",978623771339,Lentera Hati ,November - 2020,176,350 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Aksesoris-Kado-&-Parcel/Kertas-Kado/157442-Bungkus-Kertas-Kado-Motif-Walt-Disney-World.html,,Rp 3.000,Bungkus Kertas Kado Motif Walt Disney World,-,Bukukita.com ,2018,-,25 gr,-,-,Kertas Kado,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Romance/163112-11.11-I-Wish-For-You-By-The-Way.html,Rp 80.000,Rp 68.000,11.11 I Wish For You By The Way,9786239053406,Reynara ,Agustus - 2019,-,300 gr,Soft Cover,-,Romance,-,Indonesia ··
https://www.bukukita.com/Anak-Anak/Islam/138881-Doa-Anak-Saleh-Al-Ikhlas-Jilid-4-BK.html,Rp 25.000,Rp 21.250,Doa Anak Saleh Al-Ikhlas Jilid 4 BK,9786021773055,IKHLAS MEDIA ,November - 2015,-,400 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Masakan-dan-Makanan/Resep-Masakan/157703-Menu-Terfavorit-dan-Hit-dari-instagram-Cooking-With-Sheila-Full-Colour.html,Rp 225.000,Rp 191.250,Menu Terfavorit dan Hit dari instagram Cooking With Sheila - Full Colour,9789792965575,Andi Publisher ,Juli - 2018,376,900 gr,Soft Cover,-,Resep Masakan,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/135015-JAHILIYAH-KONTEMPORER-DAN-HEGEMONI-NALAR-KEKERASAN-:-Merajut-Islam-Indonesia-Membangun-Peradaban-Dunia.html,Rp 60.000,Rp 51.000,JAHILIYAH KONTEMPORER DAN HEGEMONI NALAR KEKERASAN : Merajut Islam Indonesia Membangun Peradaban Dunia,9786021491379,Lkis ,2014,198,250 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Aksesoris-Kado-&-Parcel/Kertas-Kado/157445-Bungkus-Kertas-Kado-Motif-Angry-Birds-2.html,,Rp 3.000,Bungkus Kertas Kado Motif Angry Birds 2,-,Bukukita.com ,2018,1,25 gr,-,-,Kertas Kado,-,Indonesia ··
https://www.bukukita.com/Hobi-dan-Usaha/Keterampilan-&-Desain/108968-Berbagai-Hasil-Pekerjaan-dan-Keterampilan.html,Rp 33.000,Rp 28.050,Berbagai Hasil Pekerjaan dan Keterampilan,978,Titian Ilmu ,2008,68,100 gr,Soft Cover,-,Keterampilan & Desain,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/114075-Hidangan-Ramadhan.html,Rp 55.000,Rp 46.750,Hidangan Ramadhan ,9789793862651,Al Mawardi ,2013,-,500 gr,Hard Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/167379-Mukjizat-Sabar-Syukur-Ikhlas:-Rahasia-Hidup-Bahagia-Dunia-Ak.html,Rp 34.500,Rp 29.325,Mukjizat Sabar Syukur Ikhlas: Rahasia Hidup Bahagia Dunia Ak,9786232442641,Mueeza ,Oktober - 2020,172,200 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Fiksi/109849-Brandsetters-An-Inner-Circle-Novel.html,Rp 50.000,Rp 42.500,Brandsetters An Inner Circle Novel,9786028663915,Buah Hati ,Januari - 2013,256,300 gr,Soft Cover (Book Paper),-,Fiksi,-,English ··
"https://www.bukukita.com/Referensi/Referensi-Umum/155870-Literasi-Media:-Apa,-Mengapa,-Bagaimana-Edisi-Revisi.html",Rp 60.000,Rp 51.000,"Literasi Media: Apa, Mengapa, Bagaimana Edisi Revisi",9789793782546,Simbiosa Rekatama Media ,Maret - 2018,189,300 gr,Soft Cover,-,Referensi Umum,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/168738-Perempuan.html,Rp 110.000,Rp 93.500,Perempuan (Cover Baru),9786027720770,Lentera Hati ,April - 2022,407,400 gr,Soft Cover,-,Islam,-,Indonesia ··
